model,batch,seq,gamma,mode,mean_ms,median_ms,std_ms,min_ms,max_ms,n_samples
Llama-3.1-8B-Instruct,1,2048,3,target_decode_sd,10.86884375,10.814,0.21811481282246886,10.637,11.512,32
Llama-3.1-8B-Instruct,1,4096,3,target_decode_sd,10.82575,10.9405,0.2569081673509288,10.389,11.266,32
Llama-3.1-8B-Instruct,2,256,3,target_decode_sd,10.489875,10.471,0.08361615448178998,10.409,10.757,32
Llama-3.1-8B-Instruct,2,512,3,target_decode_sd,10.52790625,10.492999999999999,0.12596706158690318,10.412,11.091,32
Llama-3.1-8B-Instruct,2,1024,3,target_decode_sd,10.60703125,10.544,0.12209475019096265,10.458,10.989,32
Llama-3.1-8B-Instruct,2,2048,3,target_decode_sd,10.8025625,10.7555,0.1120195655433287,10.665,11.117,32
Llama-3.1-8B-Instruct,2,4096,3,target_decode_sd,10.8269375,10.8965,0.1341493961368108,10.534,10.966,32
Llama-3.1-8B-Instruct,4,256,3,target_decode_sd,10.643218749999999,10.6355,0.0950048332811242,10.454,10.909,32
Llama-3.1-8B-Instruct,4,512,3,target_decode_sd,10.67903125,10.727,0.15633803004098776,10.44,11.103,32
Llama-3.1-8B-Instruct,4,1024,3,target_decode_sd,10.7401875,10.7895,0.18046703523483615,10.452,11.004,32
Llama-3.1-8B-Instruct,4,2048,3,target_decode_sd,10.94240625,10.9585,0.2159155837694817,10.662,11.364,32
Llama-3.1-8B-Instruct,4,4096,3,target_decode_sd,10.9824375,10.907,0.2621214859318038,10.491,11.358,32
Llama-3.1-8B-Instruct,8,256,3,target_decode_sd,10.7080625,10.78,0.17235614618873402,10.438,10.961,32
Llama-3.1-8B-Instruct,8,512,3,target_decode_sd,10.78846875,10.906500000000001,0.235686366826901,10.416,11.145,32
Llama-3.1-8B-Instruct,8,1024,3,target_decode_sd,10.90684375,11.0075,0.36636735568895334,10.45,11.568,32
Llama-3.1-8B-Instruct,8,2048,3,target_decode_sd,11.1245,11.2015,0.36374015894015116,10.663,11.571,32
Llama-3.1-8B-Instruct,8,4096,3,target_decode_sd,11.050125,11.0725,0.2741858034959315,10.505,11.341,32
Llama-3.1-8B-Instruct,16,256,3,target_decode_sd,10.97140625,11.1,0.4259753028866284,10.419,11.543,32
Llama-3.1-8B-Instruct,16,512,3,target_decode_sd,11.12084375,11.212,0.5275240468070411,10.471,11.906,32
Llama-3.1-8B-Instruct,16,1024,3,target_decode_sd,11.1589375,10.8875,0.6018981232787253,10.483,11.971,32
